,screen_name,favourites_count,followers_count,friends_count,statuses_count,location,full_text,lang,retweet_count,created_at,source
Pleava,Pleava,12730,279,121,6264,Praha,"Tak jsem na půl ucha slyšel reklamu @UniCredit_CZSK na Ukonto s jako benefit tam bylo Kino! Ale zase každý měsíc. Doufám, že to byl vtip...",cs,0,Tue Feb 16 20:01:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Anton_SKEREN,Anton_SKEREN,13560,940,92,19787,"Ostrava, Česká republika","@UniCredit_CZSK jako klient UniCredit banky se dotazuji na termín spuštění ""okamžitých plateb""... Kdy prosím plánujete spuštění těchto služeb?",cs,0,Tue Feb 16 06:57:11 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Pa_Kolar,Pa_Kolar,379,21,81,400,Prague,"RT @cba_cz: Jak se bude vyvíjet česká ekonomika? Svou předpověď včera představili ekonomové prognostického panelu ČBA @M_Zamecnik, @sobis62…",cs,2,Fri Feb 12 17:47:49 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
VStanura,VStanura,14935,936,990,1256,,"RT @cba_cz: Jak se bude vyvíjet česká ekonomika? Svou předpověď včera představili ekonomové prognostického panelu ČBA @M_Zamecnik, @sobis62…",cs,2,Fri Feb 12 16:39:33 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
cba_cz,cba_cz,410,1323,382,835,Praha,"Jak se bude vyvíjet česká ekonomika? Svou předpověď včera představili ekonomové prognostického panelu ČBA @M_Zamecnik, @sobis62 z @UniCredit_CZSK a @SkorepaMichal z @Ceskasporitelna. Celou prognózu včetně záznamu z konference naleznete na webu ➡️ https://t.co/cW0gdLtVdF https://t.co/mNqvpR2TH5",cs,2,Fri Feb 12 16:37:23 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
wsi_usa,wsi_usa,2076,2008,1647,44184,United States,"RT @WSjp_insight: Italia🇮🇹https://t.co/cHYXYK6v1T
CNBC bancaditalia HmsGerlach PaulineMassartW schulte_stef nicolas_veron UniCredit_CZSK Ef…",ro,109,Fri Feb 12 11:20:51 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
miroslavhes,miroslavhes,47,34,89,95,"Prague, Czech republic","Mohl by mi nekdo z @UniCredit_CZSK vysvetlit, proc UCB prestala vydavat karty Mastercard?! Aniz bychom o cokoli zadali, najednou dorazily VISA karty s tim, ze platne ECMC budou zneaktivneny a nebudou se uz vydat (dle infolinky). To jak vazne?",cs,0,Thu Feb 11 19:05:35 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
WSjp_insight,WSjp_insight,2457,460,384,39390,,"RT @WSjp_insight: Italia🇮🇹https://t.co/cHYXYK6v1T
CNBC bancaditalia HmsGerlach PaulineMassartW schulte_stef nicolas_veron UniCredit_CZSK Ef…",ro,109,Thu Feb 11 11:25:06 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
DavidDnavratil,DavidDnavratil,610,2066,1306,7026,Czech Republic,"RT @cba_cz: Ekonomové prognostického panelu ČBA 
@SkorepaMichal (@Ceskasporitelna), @sobis62 (@UniCredit_CZSK) a @M_Zamecnik již za chvíli…",cs,1,Thu Feb 11 11:10:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
cba_cz,cba_cz,410,1323,382,835,Praha,"Ekonomové prognostického panelu ČBA 
@SkorepaMichal (@Ceskasporitelna), @sobis62 (@UniCredit_CZSK) a @M_Zamecnik již za chvíli představí prognózu budoucího vývoje české #ekonomika. Sledujte od 10:00 ŽIVĚ na našem YT: https://t.co/G7pPTqMS38 https://t.co/NQYeLgAtEc",cs,1,Thu Feb 11 08:23:31 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
