,full_text,lang,retweet_count,created_at,source,reply_screen_name,reply_followers_count,reply_friends_count,reply_statuses_count,reply_favourites_count,reply_created_at,reply_full_text,reply_retweet_count,reply_favorite_count
0,"Naše U hypotéka opět zaujala. Letos si tak z Finparády odnášíme druhé místo v oblasti hypoték. Děkujeme odborné porotě, ale také vám, našim klientům, za vaši celoroční zpětnou vazbu. Věříme, že díky ní to příští rok bude jasné zlato! #UniCredit #Awards #UniCredit4You https://t.co/EgNmpT5nUa",cs,0,Tue Feb 02 08:05:23 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
1,"Superhrdinové nejsou jen ti ve filmech. Hrdina je pro nás každý z řad našich zaměstnanců. I přes nečekané nástrahy a silného nepřítele v podobě COVID-19 byl rok 2020 plný úspěchů. A za každým z nich stáli právě naši zaměstnanci.
Děkujeme! 

https://t.co/DJCXtiVcaW 

#OneUnicredit",cs,1,Fri Jan 29 09:08:53 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
2,"RT @UniCredit_PR: #Financial: Andrea Orcel designated Chief Executive Officer of #UniCredit.
📌 #PressRelease 
🗞️ https://t.co/oWf4yuECaQ ht…",en,9,Thu Jan 28 12:50:00 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
3,RT @UniCredit_PR: #OneUniCredit: 🇸🇰 #UniCredit Bank celebrates its thirtieth anniversary in #Slovakia as a key player in the Slovak banking…,en,3,Thu Jan 28 12:32:05 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
4,"#unicreditWay: Skupina UniCredit získala titul Top Employer in Europe v roce 2021! Dílčí ocenění získaly také jednotlivé evropské pobočky: @Bank_Austria , @HypoVereinsbank , @UniCredit_PR and @UniCredit_RS. ‍️ #dowhatmatters https://t.co/FRC1NHCCOf",cs,2,Mon Jan 25 12:47:30 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
5,"Už podruhé v řadě nás časopis Global Finance ocenil titulem „nejlepší privátní banka roku 2021 v Česku“. Děkujeme odborné porotě, ale hlavně našim talentovaným kolegům, díky kterým si můžeme připsat další úspěch! 
#UniCredit #Award https://t.co/pQ5V9OEkTK",cs,1,Mon Jan 18 08:00:06 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
6,"Tři naši kolegové, kteří zvládli téměř nemožné, se podělili o své příběhy. Od čelení prvním pozitivním případům v týmu banky po překonání uzavřených hranic.

Poslechněte si je zde:https://t.co/VTZ56wwMqW

#OneUniCredit #partofthesolution #czech #teamspirit",cs,1,Thu Jan 14 09:00:01 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
7,RT @UniCredit_PR: #SocialImpactBanking: His Holiness Pope Francis met with a #UniCredit delegation led by our Chairman Cesare Bisoni and ou…,en,12,Tue Jan 12 15:43:04 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
8,"Sami jste je vybrali a právě díky vám jim věnujeme až 300 000 Kč. Až do konce února totiž putuje z každé nově aktivované VISA karty jedna koruna pro organizace Oáza Hodonín, Naděje pro děti úplňku a Klub svobodných matek. 

#BankingThatMatters #PartOfTheSolution #UniCredit4You https://t.co/XpqiHNEhMq",cs,1,Thu Jan 07 09:44:58 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
9,"Rok 2020 nám ukázal jednu nádhernou pravdu: umět držet spolu i v nelehkých chvílích je to, na čem opravdu záleží. 

Nyní přichází další rok. Co nám přináší, s jistotou nemůžeme vědět. Ale již víme, že když jsme spolu, zvládneme cokoliv. 

#BankingThatMatters https://t.co/fA91lMM09I",cs,1,Fri Jan 01 08:00:09 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
10,"@Koso16_sk Dobrý deň, naše služby sú vám k dispozícii na zákazníckom centre banky, tel.: 02/6920 2090 od 7 do 22 hod. Prijaté správy a podnety sú vybavované v chronologickom slede.

Iné kanály, ktoré môžete využiť, nájdete tu: https://t.co/FU89pkmooD

S pozdravom, UniCredit Bank",und,0,Wed Dec 23 10:14:54 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",Koso16_sk,8,18,214,401,Wed Dec 23 09:35:53 +0000 2020,"@UniCredit_CZSK strcte si ju do zadku....najhorsia banka roka . obmeduje klientom zazmluvnene sluzby a tlaci ich do novych produktov bez zaujmu co ich klienti chcu resp nechcu. na emaly a spravy neodpovedaju, dohodnute spetne telefonaty nerobia...",0,0
11,"Připomeňte si s námi nejvýznamnější události letošního roku. Přes všechny výzvy a omezení to byl úspěšný rok plných důležitých milníků. 

Přejeme vám pokojné svátky ve zdraví a bezpečí a úspěšný nový rok!

#BankingThatMatters #BePartOfTheSolution https://t.co/mX9Lg2rguH",cs,1,Wed Dec 23 08:33:48 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
12,"Nová verzia našej aplikácie Smart banking už aj pre slovenských užívateľov. Ponúka rýchle prihlásenie pomocou Face ID, nový prehľad platieb ale aj detaily o bežných a úverových účtoch a kreditných kartách. 

Viac info: https://t.co/o63Hl4mwdd
#UniCredit4You #UniCredit4Innovations https://t.co/cMV5LlJsA1",und,0,Mon Dec 21 11:59:55 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
13,"Pandemie způsobila okamžitou digitalizaci určitých procesů a také změnu v samotném přístupu k práci. Jsme o krok napřed a náš nový Smart Office i měsíce po otevření stále budí zájem médií. Přečtěte si více v článku! 

#BePartOfTheSolution

https://t.co/do1GuQ9iNO",cs,0,Sun Nov 29 17:49:03 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
14,RT @UniCredit_PR: #BankingThatMatters: #UniCredit joins the #OrangeTheWorld campaign confirming its commitment against any form of harassme…,en,9,Thu Nov 26 07:55:35 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
15,"Firmě TKZ Polná jsme asistovali v přípravě podkladů, identifikaci investorů i při vyjednávání podmínek prodeje firmy. TKZ Polná, spol. s r.o. je renomovaným výrobcem stavebního a nábytkového kování, proto nás těší, že celý proces svěřila do rukou právě nám!

#UniCredit4Business https://t.co/7wkEZeFv8v",cs,0,Wed Nov 25 07:30:10 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
